"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.",,,,,,
All submitters of data may be contacted directly via www.gisaid.org,,,,,,
Accession ID,Virus name,Location,Collection date,Originating lab,Submitting lab,Authors
EPI_ISL_451211,hCoV-19/USA/LA-EVTL050/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451213,hCoV-19/USA/LA-EVTL052/2020,North America / USA / Louisiana,2020-05-02,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451217,hCoV-19/USA/LA-EVTL056/2020,North America / USA / Louisiana,2020-05-02,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451226,hCoV-19/USA/LA-EVTL065/2020,North America / USA / Louisiana,2020-05-02,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Rona S. Scott, Jeremy P. Kamil, John A. Vanchiere, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451227,hCoV-19/USA/LA-EVTL066/2020,North America / USA / Louisiana,2020-05-02,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Rona S. Scott, Jeremy P. Kamil, John A. Vanchiere, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451231,hCoV-19/USA/LA-EVTL070/2020,North America / USA / Louisiana,2020-05-04,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451232,hCoV-19/USA/LA-EVTL071/2020,North America / USA / Louisiana,2020-05-04,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451233,hCoV-19/USA/LA-EVTL072/2020,North America / USA / Louisiana,2020-05-04,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451234,hCoV-19/USA/LA-EVTL073/2020,North America / USA / Louisiana,2020-05-04,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451235,hCoV-19/USA/LA-EVTL074/2020,North America / USA / Louisiana,2020-05-04,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451236,hCoV-19/USA/LA-EVTL075/2020,North America / USA / Louisiana,2020-05-04,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451237,hCoV-19/USA/LA-EVTL076/2020,North America / USA / Louisiana,2020-05-08,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451238,hCoV-19/USA/LA-EVTL077/2020,North America / USA / Louisiana,2020-05-08,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451239,hCoV-19/USA/LA-EVTL078/2020,North America / USA / Louisiana,2020-05-04,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451240,hCoV-19/USA/LA-EVTL079/2020,North America / USA / Louisiana,2020-05-01,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451241,hCoV-19/USA/LA-EVTL080/2020,North America / USA / Louisiana,2020-05-01,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451242,hCoV-19/USA/LA-EVTL081/2020,North America / USA / Louisiana,2020-05-08,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451243,hCoV-19/USA/LA-EVTL082/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451244,hCoV-19/USA/LA-EVTL083/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451245,hCoV-19/USA/LA-EVTL084/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451246,hCoV-19/USA/LA-EVTL085/2020,North America / USA / Louisiana,2020-05-04,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451247,hCoV-19/USA/LA-EVTL086/2020,North America / USA / Louisiana,2020-05-04,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"John A. Vanchiere, Jeremy P. Kamil, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451248,hCoV-19/USA/LA-EVTL087/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451249,hCoV-19/USA/LA-EVTL088/2020,North America / USA / Louisiana,2020-05-08,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451250,hCoV-19/USA/LA-EVTL089/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451251,hCoV-19/USA/LA-EVTL090/2020,North America / USA / Louisiana,2020-05-09,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451252,hCoV-19/USA/LA-EVTL091/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451253,hCoV-19/USA/LA-EVTL092/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451254,hCoV-19/USA/LA-EVTL093/2020,North America / USA / Louisiana,2020-05-07,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451255,hCoV-19/USA/LA-EVTL094/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451256,hCoV-19/USA/LA-EVTL095/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451257,hCoV-19/USA/LA-EVTL096/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
EPI_ISL_451258,hCoV-19/USA/LA-EVTL097/2020,North America / USA / Louisiana,2020-05-06,LSUHS Emerging Viral Threat Laboratory,Microbial Genome Sequencing Center,"Jeremy P. Kamil, John A. Vanchiere, Rona S. Scott, Camille F. Abshire, Abida Siddiqa, Byeong-Jae Lee, Chan-ki Min, Md Maksudul Alam, Monica Gestal-Cartele, Edna Ondari, Adam Greer, Malgorzata Bienkowska-Haba, Katarzyna Zwolinska,  Jason M. Bodily, Andrew D. Yurochko, Paul M. Weinberger, Christopher G. Kevil, Martin J. Sapp, Daniel J. Snyder, Vaughn S. Cooper"
