"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.",,,,,,
All submitters of data may be contacted directly via www.gisaid.org,,,,,,
Accession ID,Virus name,Location,Collection date,Originating lab,Submitting lab,Authors
EPI_ISL_410535,hCoV-19/Singapore/4/2020,Asia / Singapore,2020-02-03,National Centre for Infectious Diseases,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School","Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, David CB Lye, Yee Sin Leo, Barnaby E Young, Yvonne CF Su, Gavin JD Smith"
EPI_ISL_410536,hCoV-19/Singapore/5/2020,Asia / Singapore,2020-02-06,"Singapore General Hospital, Molecular Laboratory, Division of Pathology","Programme in Emerging Infectious Diseases, Duke-NUS Medical School","Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, Kian Sing Chan, Lynette LE Oon, Shirin Kalimuddin, Jenny GH Low, Yvonne CF Su, Gavin JD Smith"
EPI_ISL_410537,hCoV-19/Singapore/6/2020,Asia / Singapore,2020-02-09,"Singapore General Hospital, Molecular Laboratory, Division of Pathology","Programme in Emerging Infectious Diseases, Duke-NUS Medical School","Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, Kian Sing Chan, Lynette LE Oon, Shirin Kalimuddin, Jenny GH Low, Yvonne CF Su, Gavin JD Smith"
EPI_ISL_410543,hCoV-19/pangolin/Guangxi/P3B/2017,Asia / China / Guangxi,2017,Beijing Institute of Microbiology and Epidemiology,Beijing Institute of Microbiology and Epidemiology,Wu-Chun Cao; Tommy Tsan-Yuk Lam; Na Jia; Ya-Wei Zhang; Jia-Fu Jiang; Bao-Gui Jiang
EPI_ISL_410544,hCoV-19/pangolin/Guangdong/P2S/2019,Asia / China / Guangdong,2019,Beijing Institute of Microbiology and Epidemiology,Beijing Institute of Microbiology and Epidemiology,Wu-Chun Cao; Tommy Tsan-Yuk Lam; Na Jia; Ya-Wei Zhang; Jia-Fu Jiang; Bao-Gui Jiang
EPI_ISL_411060,hCoV-19/Fujian/8/2020,Asia / China / Fujian,2020-01-21,Fujian Center for Disease Control and Prevention,Fujian Center for Disease Control and Prevention,"Chen Wei, Zhang Yanhua, He Wenxiang, Weng Yuwei"
EPI_ISL_411066,hCoV-19/Fujian/13/2020,Asia / China / Fujian,2020-01-22,Fujian Center for Disease Control and Prevention,Fujian Center for Disease Control and Prevention,"Chen Wei, Zhang Yanhua, He Wenxiang, Weng Yuwei"
EPI_ISL_411902,hCoV-19/Cambodia/0012/2020,Asia / Cambodia / Sihanoukville,2020-01-27,"Virology Unit, Institut Pasteur du Cambodge.","Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub) ","Erik A Karlsson, Jennifer A Bohl, Vida Ahyong, Veasna Duong, Philippe Dussart, Jessica E Manning."
EPI_ISL_411915,hCoV-19/Taiwan/CGMH-CGU-01/2020,Asia / Taiwan / Taoyuan,2020-01-25,Laboratory Medicine,"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan.","Kuo-Chien Tsao, Yu-Nong Gong, Shu-Li Yang, Yi-Chun Li, Chung-Guei Huang, Yhu-Chering Huang, Shin-Ru Shih"
EPI_ISL_411926,hCoV-19/Taiwan/3/2020,Asia / Taiwan / Taipei,2020-01-24,Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,"Ji-Rong Yang, Yu-Chi-Lin, Jung-Jung Mu, Ming-Tsan-Liu"
EPI_ISL_411927,hCoV-19/Taiwan/4/2020,Asia / Taiwan / Taipei,2020-01-28,Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,"Ji-Rong Yang, Yu-Chi-Lin, Jung-Jung Mu, Ming-Tsan-Liu"
EPI_ISL_411929,hCoV-19/South Korea/SNU01/2020,Asia / South Korea,2020-01,unknown,Department of Clinical Diagnostics,"Park,W.B., Kwon,N.-J., Choi,S.-J., Kang,C.K., Choe,P.G., Kim,J.Y., Yun,J., Lee,G.-W., Seong,M.-W., Kim,N., Seo,J.-S. and Oh,M.-D."
EPI_ISL_411950,hCoV-19/Jiangsu/JS01/2020,Asia / China / Jiangsu,2020-01-23,"NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology",Jiangsu Provincial Center for Disease Control & Prevention,"Lunbiao Cui,Kangchen Zhao,Xiaojuan Zhu,Yiyue Ge,Tao Wu,Bin Wu,Yin Chen,Fengcai Zhu,Baoli Zhu,Ming Wu"
EPI_ISL_411952,hCoV-19/Jiangsu/JS02/2020,Asia / China / Jiangsu,2020-01-24,"NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology",Jiangsu Provincial Center for Disease Control & Prevention,"Kangchen Zhao, Xiaojuan Zhu, Lunbiao Cui, Tao Wu, Yiyue Ge, Bin Wu, Yin Chen, Fengcai Zhu, Baoli Zhu, Ming Wu"
EPI_ISL_411953,hCoV-19/Jiangsu/JS03/2020,Asia / China / Jiangsu,2020-01-24,"NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology",Jiangsu Provincial Center for Disease Control & Prevention,"Kangchen Zhao, Xiaojuan Zhu, Lunbiao Cui, Tao Wu, Yiyue Ge, Bin Wu, Yin Chen, Fengcai Zhu, Baoli Zhu, Ming Wu"
EPI_ISL_411957,hCoV-19/China/WH-09/2020,Asia / China,2020-01-08,unknown,"Key Laboratory of Human Diseases, Comparative Medicine, Institute of Laboratory Animal Science","Linlin,B., Lili,R., Shuran,G., Jiangning,L., Feifei,Q., Qi,L., Fengdi,L., Jing,X., Wei,D., Pin,Y., Yanfeng,X., Yajin,Q., Hong,G., Qiang,W., Mingya,L., Guanpeng,W., Shunyi,W., Zhiqi,S., Li,G., Lan,C., Conghui,W., Ying,W., Xinming,W., Yan,X., Qi,J. and Chuan,Q."
EPI_ISL_412869,hCoV-19/South Korea/KCDC05/2020,Asia / South Korea / Seoul,2020-01-30,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han "
EPI_ISL_412870,hCoV-19/South Korea/KCDC06/2020,Asia / South Korea / Seoul,2020-01-30,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention ","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention ","Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han "
EPI_ISL_412871,hCoV-19/South Korea/KCDC07/2020,Asia / South Korea / Seoul,2020-01-31,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han "
EPI_ISL_412872,hCoV-19/South Korea/KCDC12/2020,Asia / South Korea / Gyeonggi-do,2020-02-01,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han"
EPI_ISL_412873,hCoV-19/South Korea/KCDC24/2020,Asia / South Korea / Chungcheongnam-do,2020-02-06,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention ","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention ","Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han"
EPI_ISL_413513,hCoV-19/South Korea/KUMC03/2020,Asia / South Korea,2020-02-27,"Division of Infectious Diseases, Department of Internal Medicine, Korea University College of Medicine","Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University","Changmin Kang, Joon-Yong Bae, Jungmin Lee, Jin Gu Yoon, Heedo Park, Juyoung Cho, Jeonghun Kim, Gee Eun Lee, Cui Chunguang, Kyeong-ryeol Shin, Ji Yun Noh, Joon Young Song, Hee Jin Cheong, Woo Joo Kim, Jin Il Kim, Man-Seong Park"
EPI_ISL_413514,hCoV-19/South Korea/KUMC04/2020,Asia / South Korea,2020-02-27,"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University","Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University","Changmin Kang, Joon-Yong Bae, Jungmin Lee, Jin Gu Yoon, Heedo Park, Juyoung Cho, Jeonghun Kim, Gee Eun Lee, Cui Chunguang, Kyeong-ryeol Shin, Ji Yun Noh, Joon Young Song, Hee Jin Cheong, Woo Joo Kim, Jin Il Kim, Man-Seong Park"
EPI_ISL_413515,hCoV-19/South Korea/KUMC05/2020,Asia / South Korea,2020-02-27,"Division of Infectious Diseases, Department of Internal Medicine, Korea University College of Medicine","Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University","Changmin Kang, Joon-Yong Bae, Jungmin Lee, Jin Gu Yoon, Heedo Park, Juyoung Cho, Jeonghun Kim, Gee Eun Lee, Cui Chunguang, Kyeong-ryeol Shin, Ji Yun Noh, Joon Young Song, Hee Jin Cheong, Woo Joo Kim, Jin Il Kim, Man-Seong Park"
EPI_ISL_413516,hCoV-19/South Korea/KUMC06/2020,Asia / South Korea,2020-02-27,"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University","Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University","Changmin Kang, Joon-Yong Bae, Jungmin Lee, Jin Gu Yoon, Heedo Park, Juyoung Cho, Jeonghun Kim, Gee Eun Lee, Cui Chunguang, Kyeong-ryeol Shin, Ji Yun Noh, Joon Young Song, Hee Jin Cheong, Woo Joo Kim, Jin Il Kim, Man-Seong Park"
EPI_ISL_413518,hCoV-19/Beijing/105/2020,Asia / China / Beijing,2020-01-26,unknown,Infectious Disease Control Center,"Li,J., Li,L., Li,Z., Qiu,S., Song,H., Li,P. and Li,P."
EPI_ISL_413519,hCoV-19/Beijing/231/2020,Asia / China / Beijing,2020-01-28,unknown,Infectious Disease Control Center,"Li,J., Li,L., Li,Z., Qiu,S., Song,H., Li,P. and Li,P."
EPI_ISL_413520,hCoV-19/Beijing/233/2020,Asia / China / Beijing,2020-01-28,unknown,Infectious Disease Control Center,"Li,J., Li,L., Li,Z., Qiu,S., Song,H., Li,P. and Li,P."
EPI_ISL_413521,hCoV-19/Beijing/235/2020,Asia / China / Beijing,2020-01-28,unknown,Infectious Disease Control Center,"Li,J., Li,L., Li,Z., Qiu,S., Song,H., Li,P. and Li,P."
EPI_ISL_413522,hCoV-19/India/1-27/2020,Asia / India / Kerala,2020-01-27,Indian Council of Medical Research - National Institute of Virology,"National Influenza Center, Indian Council of Medical Research - National Institute of Virology","Potdar V, Yadav PD, Choudhary ML, Shete-Aich A"
EPI_ISL_413523,hCoV-19/India/1-31/2020,Asia / India / Kerala,2020-01-31,Indian Council of Medical Research-National Institute of Virology,"National Influenza Center, Indian Council of Medical Research-National Institute of Virology","Potdar V, Yadav PD, Choudhary ML, Shete-Aich A"
EPI_ISL_413592,hCoV-19/Taiwan/NTU03/2020,Asia / Taiwan / Taipei,2020-03-02,"Department of Laboratory Medicine, National Taiwan University Hospital","Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine","Shiou-Hwei Yeh, You-Yu Lin, Ya-Yun Lai, Chiao-Ling Li, Shan-Chwen Chang, Pei-Jer Chen, Sui-Yuan Chang"
EPI_ISL_413691,hCoV-19/China/WF0001/2020,Asia / China,2020-01,Weifang Center for Disease Control and Prevention,Weifang Center for Disease Control and Prevention & BGI-Shenzhen,"Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li"
EPI_ISL_413692,hCoV-19/China/WF0002/2020,Asia / China,2020-01,Weifang Center for Disease Control and Prevention,Weifang Center for Disease Control and Prevention & BGI-Shenzhen,"Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li"
EPI_ISL_413693,hCoV-19/China/WF0003/2020,Asia / China,2020-01,Weifang Center for Disease Control and Prevention,Weifang Center for Disease Control and Prevention & BGI-Shenzhen,"Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li"
EPI_ISL_413694,hCoV-19/China/WF0004/2020,Asia / China,2020-01,Weifang Center for Disease Control and Prevention,Weifang Center for Disease Control and Prevention & BGI-Shenzhen,"Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li"
EPI_ISL_413697,hCoV-19/China/WF0012/2020,Asia / China,2020-02,Weifang Center for Disease Control and Prevention,Weifang Center for Disease Control and Prevention & BGI-Shenzhen,"Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li"
EPI_ISL_413711,hCoV-19/China/WF0014/2020,Asia / China,2020-02,Weifang Center for Disease Control and Prevention,Weifang Center for Disease Control and Prevention & BGI-Shenzhen,"Qing Nie, Xingguang Li, Erik M Volz, Han Fu, Haowei Wang, Xiaoyue Xi, Wei Chen, Dehui Liu, Yingying Chen, Mengmeng Tian, Wei Tan, Junjie Zai, Wanying Sun, Jiandong Li, Junhua Li"
EPI_ISL_414571,hCoV-19/Hong Kong/VM20002849/2020,Asia / Hong Kong,2020-02-22,Hong Kong Department of Health,"School of Public Health, The University of Hong Kong","Dominic N.C. Tsang, Daniel K.W. Chu, Leo L.M. Poon, Malik Peiris"
